category_codes,category_codes_des,block_codes,block_codes_des,chapter_codes,chapter_codes_des
759,Other and unspecified congenital anomalies,759,Other and unspecified congenital anomalies,740-759,Congenital Anomalies
760,Fetus or newborn affected by maternal conditions which may be unrelated to present pregnancy,760-763,Maternal Causes Of Perinatal Morbidity And Mortality,760-779,Certain Conditions Originating In The Perinatal Period
761,Fetus or newborn affected by maternal complications of pregnancy,760-763,Maternal Causes Of Perinatal Morbidity And Mortality,760-779,Certain Conditions Originating In The Perinatal Period
762,Fetus or newborn affected by complications of placenta cord and membranes,760-763,Maternal Causes Of Perinatal Morbidity And Mortality,760-779,Certain Conditions Originating In The Perinatal Period
763,Fetus or newborn affected by other complications of labor and delivery,760-763,Maternal Causes Of Perinatal Morbidity And Mortality,760-779,Certain Conditions Originating In The Perinatal Period
764,Slow fetal growth and fetal malnutrition,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
765,Disorders relating to short gestation and low birthweight,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
766,Disorders relating to long gestation and high birthweight,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
767,Birth trauma,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
768,Intrauterine hypoxia and birth asphyxia,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
769,Respiratory distress syndrome in newborn,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
770,Other respiratory conditions of fetus and newborn,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
771,Infections specific to the perinatal period,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
772,Fetal and neonatal hemorrhage,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
773,Hemolytic disease of fetus or newborn due to isoimmunization,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
774,Other perinatal jaundice,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
775,Endocrine and metabolic disturbances specific to the fetus and newborn,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
776,Hematological disorders of newborn,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
777,Perinatal disorders of digestive system,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
778,Conditions involving the integument and temperature regulation of fetus and newborn,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
779,Other and ill-defined conditions originating in the perinatal period,764-779,Other Conditions Originating In The Perinatal Period,760-779,Certain Conditions Originating In The Perinatal Period
780,General symptoms,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
781,Symptoms involving nervous and musculoskeletal systems,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
782,Symptoms involving skin and other integumentary tissue,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
783,Symptoms concerning nutrition metabolism and development,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
784,Symptoms involving head and neck,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
785,Symptoms involving cardiovascular system,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
786,Symptoms involving respiratory system and other chest symptoms,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
787,Symptoms involving digestive system,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
788,Symptoms involving urinary system,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
789,Other symptoms involving abdomen and pelvis,780-789,Symptoms,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
790,Nonspecific findings on examination of blood,790-796,Nonspecific Abnormal Findings,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
791,Nonspecific findings on examination of urine,790-796,Nonspecific Abnormal Findings,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
792,Nonspecific abnormal findings in other body substances,790-796,Nonspecific Abnormal Findings,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
793,Nonspecific (abnormal) findings on radiological and other examination of body structure,790-796,Nonspecific Abnormal Findings,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
794,Nonspecific abnormal results of function studies,790-796,Nonspecific Abnormal Findings,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
795,"Other and nonspecific abnormal cytological, histological, immunological, and dna test findings",790-796,Nonspecific Abnormal Findings,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
796,Other nonspecific abnormal findings,790-796,Nonspecific Abnormal Findings,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
797,Senility without mention of psychosis,797-799,Ill-Defined And Unknown Causes Of Morbidity And Mortality,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
798,Sudden death cause unknown,797-799,Ill-Defined And Unknown Causes Of Morbidity And Mortality,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
799,Other ill-defined and unknown causes of morbidity and mortality,797-799,Ill-Defined And Unknown Causes Of Morbidity And Mortality,780-799,"Symptoms, Signs, And Ill-Defined Conditions"
800,Fracture of vault of skull,800-804,Fracture Of Skull,800-999,Injury And Poisoning
801,Fracture of base of skull,800-804,Fracture Of Skull,800-999,Injury And Poisoning
802,Fracture of face bones,800-804,Fracture Of Skull,800-999,Injury And Poisoning
803,Other and unqualified skull fractures,800-804,Fracture Of Skull,800-999,Injury And Poisoning
804,Multiple fractures involving skull or face with other bones,800-804,Fracture Of Skull,800-999,Injury And Poisoning
805,Fracture of vertebral column without mention of spinal cord injury,805-809,Fracture Of Spine And Trunk,800-999,Injury And Poisoning
806,Fracture of vertebral column with spinal cord injury,805-809,Fracture Of Spine And Trunk,800-999,Injury And Poisoning
807,Fracture of rib(s) sternum larynx and trachea,805-809,Fracture Of Spine And Trunk,800-999,Injury And Poisoning
808,Fracture of pelvis,805-809,Fracture Of Spine And Trunk,800-999,Injury And Poisoning
809,Ill-defined fractures of bones of trunk,805-809,Fracture Of Spine And Trunk,800-999,Injury And Poisoning
810,Fracture of clavicle,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
811,Fracture of scapula,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
812,Fracture of humerus,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
813,Fracture of radius and ulna,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
814,Fracture of carpal bone(s),810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
815,Fracture of metacarpal bone(s),810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
816,Fracture of one or more phalanges of hand,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
817,Multiple fractures of hand bones,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
818,Ill-defined fractures of upper limb,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
819,Multiple fractures involving both upper limbs and upper limb with rib(s) and sternum,810-819,Fracture Of Upper Limb,800-999,Injury And Poisoning
820,Fracture of neck of femur,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
821,Fracture of other and unspecified parts of femur,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
822,Fracture of patella,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
823,Fracture of tibia and fibula,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
824,Fracture of ankle,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
825,Fracture of one or more tarsal and metatarsal bones,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
826,Fracture of one or more phalanges of foot,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
827,Other multiple and ill-defined fractures of lower limb,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
828,Multiple fractures involving both lower limbs lower with upper limb and lower limb(s) with rib(s) and sternum,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
829,Fracture of unspecified bones,820-829,Fracture Of Lower Limb,800-999,Injury And Poisoning
830,Dislocation of jaw,830-839,Dislocation,800-999,Injury And Poisoning
831,Dislocation of shoulder,830-839,Dislocation,800-999,Injury And Poisoning
832,Dislocation of elbow,830-839,Dislocation,800-999,Injury And Poisoning
833,Dislocation of wrist,830-839,Dislocation,800-999,Injury And Poisoning
834,Dislocation of finger,830-839,Dislocation,800-999,Injury And Poisoning
835,Dislocation of hip,830-839,Dislocation,800-999,Injury And Poisoning
836,Dislocation of knee,830-839,Dislocation,800-999,Injury And Poisoning
837,Dislocation of ankle,830-839,Dislocation,800-999,Injury And Poisoning
838,Dislocation of foot,830-839,Dislocation,800-999,Injury And Poisoning
839,Other multiple and ill-defined dislocations,830-839,Dislocation,800-999,Injury And Poisoning
840,Sprains and strains of shoulder and upper arm,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
841,Sprains and strains of elbow and forearm,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
842,Sprains and strains of wrist and hand,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
843,Sprains and strains of hip and thigh,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
844,Sprains and strains of knee and leg,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
845,Sprains and strains of ankle and foot,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
846,Sprains and strains of sacroiliac region,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
847,Sprains and strains of other and unspecified parts of back,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
848,Other and ill-defined sprains and strains,840-848,Sprains And Strains Of Joints And Adjacent Muscles,800-999,Injury And Poisoning
850,Concussion,850-854,"Intracranial Injury, Excluding Those With Skull Fracture",800-999,Injury And Poisoning
851,Cerebral laceration and contusion,850-854,"Intracranial Injury, Excluding Those With Skull Fracture",800-999,Injury And Poisoning
852,Subarachnoid subdural and extradural hemorrhage following injury,850-854,"Intracranial Injury, Excluding Those With Skull Fracture",800-999,Injury And Poisoning
853,Other and unspecified intracranial hemorrhage following injury,850-854,"Intracranial Injury, Excluding Those With Skull Fracture",800-999,Injury And Poisoning
854,Intracranial injury of other and unspecified nature,850-854,"Intracranial Injury, Excluding Those With Skull Fracture",800-999,Injury And Poisoning
860,Traumatic pneumothorax and hemothorax,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
861,Injury to heart and lung,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
862,Injury to other and unspecified intrathoracic organs,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
863,Injury to gastrointestinal tract,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
864,Injury to liver,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
865,Injury to spleen,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
866,Injury to kidney,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
867,Injury to pelvic organs,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
868,Injury to other intra-abdominal organs,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
869,Internal injury to unspecified or ill-defined organs,860-869,"Internal Injury Of Chest, Abdomen, And Pelvis",800-999,Injury And Poisoning
870,Open wound of ocular adnexa,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
871,Open wound of eyeball,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
872,Open wound of ear,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
873,Other open wound of head,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
874,Open wound of neck,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
875,Open wound of chest (wall),870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
876,Open wound of back,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
877,Open wound of buttock,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
878,Open wound of genital organs (external) including traumatic amputation,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
879,Open wound of other and unspecified sites except limbs,870-879,"Open Wound Of Head, Neck, And Trunk",800-999,Injury And Poisoning
880,Open wound of shoulder and upper arm,880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
881,Open wound of elbow forearm and wrist,880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
882,Open wound of hand except finger(s) alone,880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
883,Open wound of finger(s),880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
884,Multiple and unspecified open wound of upper limb,880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
885,Traumatic amputation of thumb (complete) (partial),880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
886,Traumatic amputation of other finger(s) (complete) (partial),880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
887,Traumatic amputation of arm and hand (complete) (partial),880-887,Open Wound Of Upper Limb,800-999,Injury And Poisoning
890,Open wound of hip and thigh,890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
891,Open wound of knee leg (except thigh) and ankle,890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
892,Open wound of foot except toe(s) alone,890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
893,Open wound of toe(s),890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
894,Multiple and unspecified open wound of lower limb,890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
895,Traumatic amputation of toe(s) (complete) (partial),890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
896,Traumatic amputation of foot (complete) (partial),890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
897,Traumatic amputation of leg(s) (complete) (partial),890-897,Open Wound Of Lower Limb,800-999,Injury And Poisoning
900,Injury to blood vessels of head and neck,900-904,Injury To Blood Vessels,800-999,Injury And Poisoning
901,Injury to blood vessels of thorax,900-904,Injury To Blood Vessels,800-999,Injury And Poisoning
902,Injury to blood vessels of abdomen and pelvis,900-904,Injury To Blood Vessels,800-999,Injury And Poisoning
903,Injury to blood vessels of upper extremity,900-904,Injury To Blood Vessels,800-999,Injury And Poisoning
904,Injury to blood vessels of lower extremity and unspecified sites,900-904,Injury To Blood Vessels,800-999,Injury And Poisoning
905,Late effects of musculoskeletal and connective tissue injuries,905-909,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes",800-999,Injury And Poisoning
906,Late effects of injuries to skin and subcutaneous tissues,905-909,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes",800-999,Injury And Poisoning
907,Late effects of injuries to the nervous system,905-909,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes",800-999,Injury And Poisoning
908,Late effects of other and unspecified injuries,905-909,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes",800-999,Injury And Poisoning
909,Late effects of other and unspecified external causes,905-909,"Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes",800-999,Injury And Poisoning
910,Superficial injury of face neck and scalp except eye,910-919,Superficial Injury,800-999,Injury And Poisoning
911,Superficial injury of trunk,910-919,Superficial Injury,800-999,Injury And Poisoning
912,Superficial injury of shoulder and upper arm,910-919,Superficial Injury,800-999,Injury And Poisoning
913,Superficial injury of elbow forearm and wrist,910-919,Superficial Injury,800-999,Injury And Poisoning
914,Superficial injury of hand(s) except finger(s) alone,910-919,Superficial Injury,800-999,Injury And Poisoning
915,Superficial injury of finger(s),910-919,Superficial Injury,800-999,Injury And Poisoning
916,Superficial injury of hip thigh leg and ankle,910-919,Superficial Injury,800-999,Injury And Poisoning
917,Superficial injury of foot and toe(s),910-919,Superficial Injury,800-999,Injury And Poisoning
918,Superficial injury of eye and adnexa,910-919,Superficial Injury,800-999,Injury And Poisoning
919,Superficial injury of other multiple and unspecified sites,910-919,Superficial Injury,800-999,Injury And Poisoning
920,"Contusion of face, scalp, and neck except eye(s)",920-924,Contusion With Intact Skin Surface,800-999,Injury And Poisoning
921,Contusion of eye and adnexa,920-924,Contusion With Intact Skin Surface,800-999,Injury And Poisoning
922,Contusion of trunk,920-924,Contusion With Intact Skin Surface,800-999,Injury And Poisoning
923,Contusion of upper limb,920-924,Contusion With Intact Skin Surface,800-999,Injury And Poisoning
924,Contusion of lower limb and of other and unspecified sites,920-924,Contusion With Intact Skin Surface,800-999,Injury And Poisoning
925,Crushing injury of face scalp and neck,925-929,Crushing Injury,800-999,Injury And Poisoning
926,Crushing injury of trunk,925-929,Crushing Injury,800-999,Injury And Poisoning
927,Crushing injury of upper limb,925-929,Crushing Injury,800-999,Injury And Poisoning
928,Crushing injury of lower limb,925-929,Crushing Injury,800-999,Injury And Poisoning
929,Crushing injury of multiple and unspecified sites,925-929,Crushing Injury,800-999,Injury And Poisoning
930,Foreign body on external eye,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
931,Foreign body in ear,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
932,Foreign body in nose,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
933,Foreign body in pharynx and larynx,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
934,Foreign body in trachea bronchus and lung,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
935,Foreign body in mouth esophagus and stomach,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
936,Foreign body in intestine and colon,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
937,Foreign body in anus and rectum,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
938,"Foreign body in digestive system, unspecified",930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
939,Foreign body in genitourinary tract,930-939,Effects Of Foreign Body Entering Through Orifice,800-999,Injury And Poisoning
940,Burn confined to eye and adnexa,940-949,Burns,800-999,Injury And Poisoning
941,Burn of face head and neck,940-949,Burns,800-999,Injury And Poisoning
942,Burn of trunk,940-949,Burns,800-999,Injury And Poisoning
943,Burn of upper limb except wrist and hand,940-949,Burns,800-999,Injury And Poisoning
944,Burn of wrist(s) and hand(s),940-949,Burns,800-999,Injury And Poisoning
945,Burn of lower limb(s),940-949,Burns,800-999,Injury And Poisoning
946,Burns of multiple specified sites,940-949,Burns,800-999,Injury And Poisoning
947,Burn of internal organs,940-949,Burns,800-999,Injury And Poisoning
948,Burns classified according to extent of body surface involved,940-949,Burns,800-999,Injury And Poisoning
949,Burn unspecified site,940-949,Burns,800-999,Injury And Poisoning
950,Injury to optic nerve and pathways,950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
951,Injury to other cranial nerve(s),950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
952,Spinal cord injury without evidence of spinal bone injury,950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
953,Injury to nerve roots and spinal plexus,950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
954,Injury to other nerve(s) of trunk excluding shoulder and pelvic girdles,950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
955,Injury to peripheral nerve(s) of shoulder girdle and upper limb,950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
956,Injury to peripheral nerve(s) of pelvic girdle and lower limb,950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
957,Injury to other and unspecified nerves,950-957,Injury To Nerves And Spinal Cord,800-999,Injury And Poisoning
958,Certain early complications of trauma,958-959,Certain Traumatic Complications And Unspecified Injuries,800-999,Injury And Poisoning
959,Injury other and unspecified,958-959,Certain Traumatic Complications And Unspecified Injuries,800-999,Injury And Poisoning
960,Poisoning by antibiotics,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
961,Poisoning by other anti-infectives,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
962,Poisoning by hormones and synthetic substitutes,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
963,Poisoning by primarily systemic agents,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
964,Poisoning by agents primarily affecting blood constituents,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
965,Poisoning by analgesics antipyretics and antirheumatics,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
966,Poisoning by anticonvulsants and anti-parkinsonism drugs,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
967,Poisoning by sedatives and hypnotics,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
968,Poisoning by other central nervous system depressants and anesthetics,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
969,Poisoning by psychotropic agents,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
970,Poisoning by central nervous system stimulants,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
971,Poisoning by drugs primarily affecting the autonomic nervous system,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
972,Poisoning by agents primarily affecting the cardiovascular system,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
973,Poisoning by agents primarily affecting the gastrointestinal system,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
974,Poisoning by water mineral and uric acid metabolism drugs,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
975,Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
976,Poisoning by agents primarily affecting skin and mucous membrane ophthalmological otorhinolaryngological and dental drugs,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
977,Poisoning by other and unspecified drugs and medicinal substances,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
978,Poisoning by bacterial vaccines,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
979,Poisoning by other vaccines and biological substances,960-979,"Poisoning By Drugs, Medicinals And Biological Substances",800-999,Injury And Poisoning
980,Toxic effect of alcohol,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
981,Toxic effect of petroleum products,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
982,Toxic effect of solvents other than petroleum-based,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
983,Toxic effect of corrosive aromatics acids and caustic alkalis,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
984,Toxic effect of lead and its compounds (including fumes),980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
985,Toxic effect of other metals,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
986,Toxic effect of carbon monoxide,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
987,Toxic effect of other gases fumes or vapors,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
988,Toxic effect of noxious substances eaten as food,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
989,Toxic effect of other substances chiefly nonmedicinal as to source,980-989,Toxic Effects Of Substances Chiefly Nonmedicinal As To Source,800-999,Injury And Poisoning
990,"Effects of radiation, unspecified",990-995,Other And Unspecified Effects Of External Causes,800-999,Injury And Poisoning
991,Effects of reduced temperature,990-995,Other And Unspecified Effects Of External Causes,800-999,Injury And Poisoning
992,Effects of heat and light,990-995,Other And Unspecified Effects Of External Causes,800-999,Injury And Poisoning
993,Effects of air pressure,990-995,Other And Unspecified Effects Of External Causes,800-999,Injury And Poisoning
994,Effects of other external causes,990-995,Other And Unspecified Effects Of External Causes,800-999,Injury And Poisoning
995,Certain adverse effects not elsewhere classified,990-995,Other And Unspecified Effects Of External Causes,800-999,Injury And Poisoning
996,Complications peculiar to certain specified procedures,996-999,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",800-999,Injury And Poisoning
997,Complications affecting specified body system not elsewhere classified,996-999,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",800-999,Injury And Poisoning
998,Other complications of procedures not elsewhere classified,996-999,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",800-999,Injury And Poisoning
999,Complications of medical care not elsewhere classified,996-999,"Complications Of Surgical And Medical Care, Not Elsewhere Classified",800-999,Injury And Poisoning
E000,External cause status,E000-E000,External Cause Status,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E001,Activities involving walking and running,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E002,Activities involving water and water craft,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E003,Activities involving snow and ice,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E004,"Activities involving climbing, rappelling and jumping off",E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E005,Activities involving dancing and other rhythmic movement,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E006,Activities involving other sports and athletics played individually,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E007,Activities involving other sports and athletics played as a team or group,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E008,Activities involving other specified sports and athletics,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E009,Activity involving other cardiorespiratory exercise,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E010,Activity involving other muscle strengthening exercises,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E011,Activities involving computer technology and electronic devices,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E012,Activities involving arts and handcrafts,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E013,Activities involving personal hygiene and household maintenance,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E014,Activities involving person providing caregiving,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E015,"Activities involving food preparation, cooking and grilling",E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E016,"Activities involving property and land maintenance, building and construction",E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
E017,Activities involving roller coasters and other types of external motion,E001-E030,Activity,E000-E999,Supplementary Classification Of External Causes Of Injury And Poisoning
