800-999 Injury And Poisoning
	800-804 Fracture Of Skull
		800 Fracture of vault of skull
			863.80 Injury to gastrointestinal tract, unspecified site, without mention of open wound into cavity
			863.81 Injury to pancreas, head, without mention of open wound into cavity
			863.82 Injury to pancreas, body, without mention of open wound into cavity
			863.83 Injury to pancreas, tail, without mention of open wound into cavity
			863.84 Injury to pancreas, multiple and unspecified sites, without mention of open wound into cavity
			863.85 Injury to appendix, without mention of open wound into cavity
			863.89 Injury to other gastrointestinal sites, without mention of open wound into cavity
			863.9 Injury to other and unspecified gastrointestinal sites with open wound into cavity
			863.90 Injury to gastrointestinal tract, unspecified site, with open wound into cavity
			863.91 Injury to pancreas, head, with open wound into cavity
			863.92 Injury to pancreas, body, with open wound into cavity
			863.93 Injury to pancreas, tail, with open wound into cavity
			863.94 Injury to pancreas, multiple and unspecified sites, with open wound into cavity
			863.95 Injury to appendix, with open wound into cavity
			863.99 Injury to other gastrointestinal sites, with open wound into cavity
		864 Injury to liver
			864 Injury to liver
			864.0 Injury to liver without mention of open wound into cavity
			864.00 Injury to liver without mention of open wound into cavity, unspecified injury
			864.01 Injury to liver without mention of open wound into cavity, hematoma and contusion
			864.02 Injury to liver without mention of open wound into cavity, laceration, minor
			864.03 Injury to liver without mention of open wound into cavity, laceration, moderate
			864.04 Injury to liver without mention of open wound into cavity, laceration, major
			864.05 Injury to liver without mention of open wound into cavity laceration, unspecified
			864.09 Other injury to liver without mention of open wound into cavity
			864.1 Injury to liver with open wound into cavity
			864.10 Injury to liver with open wound into cavity, unspecified injury
			864.11 Injury to liver with open wound into cavity, hematoma and contusion
			864.12 Injury to liver with open wound into cavity, laceration, minor
			864.13 Injury to liver with open wound into cavity, laceration, moderate
			864.14 Injury to liver with open wound into cavity, laceration, major
			864.15 Injury to liver without mention of open wound into cavity laceration, unspecified
			864.19 Other injury to liver with open wound into cavity
		865 Injury to spleen
			865 Injury to spleen
			865.0 Injury to spleen without mention of open wound into cavity
			865.00 Injury to spleen without mention of open wound into cavity, unspecified injury
			865.01 Injury to spleen without mention of open wound into cavity, hematoma without rupture of capsule
			865.02 Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma
			865.03 Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma
			865.04 Injury to spleen without mention of open wound into cavity, massive parenchymal disruption
			865.09 Other injury into spleen without mention of open wound into cavity
			865.1 Injury to spleen with open wound into cavity
			865.10 Injury to spleen with open wound into cavity, unspecified injury
			865.11 Injury to spleen with open wound into cavity, hematoma without rupture of capsule
			865.12 Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma
			865.13 Injury to spleen with open wound into cavity, laceration extending into parenchyma
			865.14 Injury to spleen with open wound into cavity, massive parenchyma disruption
			865.19 Other injury to spleen with open wound into cavity
		866 Injury to kidney
			866 Injury to kidney
			866.0 Injury to kidney without mention of open wound into cavity
			866.00 Injury to kidney without mention of open wound into cavity, unspecified injury
			866.01 Injury to kidney without mention of open wound into cavity, hematoma without rupture of capsule
			866.02 Injury to kidney without mention of open wound into cavity, laceration
			866.03 Injury to kidney without mention of open wound into cavity, complete disruption of kidney parenchyma
			866.1 Injury to kidney with open wound into cavity
			866.10 Injury to kidney with open wound into cavity, unspecified injury
			866.11 Injury to kidney with open wound into cavity, hematoma without rupture of capsule
			866.12 Injury to kidney with open wound into cavity, laceration
			866.13 Injury to kidney with open wound into cavity, complete disruption of kidney parenchyma
		867 Injury to pelvic organs
			867 Injury to pelvic organs
			867.0 Injury to bladder and urethra, without mention of open wound into cavity
			867.1 Injury to bladder and urethra, with open wound into cavity
			867.2 Injury to ureter, without mention of open wound into cavity
			867.3 Injury to ureter, with open wound into cavity
			867.4 Injury to uterus, without mention of open wound into cavity
			867.5 Injury to uterus, with open wound into cavity
			867.6 Injury to other specified pelvic organs, without mention of open wound into cavity
			867.7 Injury to other specified pelvic organs, with open wound into cavity
			867.8 Injury to unspecified pelvic organ, without mention of open wound into cavity
			867.9 Injury to unspecified pelvic organ, with open wound into cavity
		868 Injury to other intra-abdominal organs
			868 Injury to other intra-abdominal organs
			868.0 Injury to other intra-abdominal organs without mention of open wound into cavity
			868.00 Injury to other intra-abdominal organs without mention of open wound into cavity, unspecified intra-abdominal organ
			868.01 Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland
			868.02 Injury to other intra-abdominal organs without mention of open wound into cavity, bile duct and gallbladder
			868.03 Injury to other intra-abdominal organs without mention of open wound into cavity, peritoneum
			868.04 Injury to other intra-abdominal organs without mention of open wound into cavity, retroperitoneum
			868.09 Injury to other and multiple intra-abdominal organs without mention of open wound into cavity
			868.1 Injury to other intra-abdominal organs with open wound into cavity
			868.10 Injury to other intra-abdominal organs with open wound into cavity, unspecified intra-abdominal organ
			868.11 Injury to other intra-abdominal organs with open wound into cavity, adrenal gland
			868.12 Injury to other intra-abdominal organs with open wound into cavity, bile duct and gallbladder
			868.13 Injury to other intra-abdominal organs with open wound into cavity, peritoneum
			868.14 Injury to other intra-abdominal organs with open wound into cavity, retroperitoneum
			868.19 Injury to other and multiple intra-abdominal organs, with open wound into cavity
		869 Internal injury to unspecified or ill-defined organs
			869 Internal injury to unspecified or ill-defined organs
			869.0 Internal injury to unspecified or ill-defined organs without mention of open wound into cavity
			869.1 Internal injury to unspecified or ill-defined organs with open wound into cavity
	870-879 Open Wound Of Head, Neck, And Trunk
		870 Open wound of ocular adnexa
			870 Open wound of ocular adnexa
			870.0 Laceration of skin of eyelid and periocular area
			870.1 Laceration of eyelid, full-thickness, not involving lacrimal passages
			870.2 Laceration of eyelid involving lacrimal passages
			870.3 Penetrating wound of orbit, without mention of foreign body
			870.4 Penetrating wound of orbit with foreign body
			870.8 Other specified open wounds of ocular adnexa
			870.9 Unspecified open wound of ocular adnexa
		871 Open wound of eyeball
			871 Open wound of eyeball
			871.0 Ocular laceration without prolapse of intraocular tissue
			871.1 Ocular laceration with prolapse or exposure of intraocular tissue
			871.2 Rupture of eye with partial loss of intraocular tissue
			871.3 Avulsion of eye
			871.4 Unspecified laceration of eye
			871.5 Penetration of eyeball with magnetic foreign body
			871.6 Penetration of eyeball with (nonmagnetic) foreign body
			871.7 Unspecified ocular penetration
			871.9 Unspecified open wound of eyeball
		872 Open wound of ear
			872 Open wound of ear
			872.0 Open wound of external ear without mention of complication
			872.00 Open wound of external ear, unspecified site, without mention of complication
			872.01 Open wound of auricle, ear, without mention of complication
			872.02 Open wound of auditory canal, without mention of complication
			872.1 Open wound of external ear complicated
			872.10 Open wound of external ear, unspecified site, complicated
			872.11 Open wound of auricle, ear, complicated
			872.12 Open wound of auditory canal, complicated
			872.6 Open wound of other specified parts of ear without mention of complication
			872.61 Open wound of ear drum, without mention of complication
			872.62 Open wound of ossicles, without mention of complication
			872.63 Open wound of eustachian tube, without mention of complication
			872.64 Open wound of cochlea, without mention of complication
			872.69 Open wound of other and multiple sites of ear, without mention of complication
			872.7 Open wound of other specified parts of ear complicated
			872.71 Open wound of ear drum, complicated
			872.72 Open wound of ossicles, complicated
			872.73 Open wound of eustachian tube, complicated
			872.74 Open wound of cochlea, complicated
			872.79 Open wound of other and multiple sites of ear, complicated
			872.8 Open wound of ear, part unspecified, without mention of complication
			872.9 Open wound of ear, part unspecified, complicated
		873 Other open wound of head
			873 Other open wound of head
			873.0 Open wound of scalp, without mention of complication
			873.1 Open wound of scalp, complicated
			873.2 Open wound of nose without mention of complication
			873.20 Open wound of nose, unspecified site, without mention of complication
			873.21 Open wound of nasal septum, without mention of complication
			873.22 Open wound of nasal cavity, without mention of complication
			873.23 Open wound of nasal sinus, without mention of complication
			873.29 Open wound of multiple sites of nose, without mention of complication
			873.3 Open wound of nose complicated
			873.30 Open wound of nose, unspecified site, complicated
			873.31 Open wound of nasal septum, complicated
			873.32 Open wound of nasal cavity, complicated
			873.33 Open wound of nasal sinus, complicated
			873.39 Open wound of multiple sites of nose, complicated
			873.4 Open wound of face without mention of complication
			873.40 Open wound of face, unspecified site, without mention of complication
			873.41 Open wound of cheek, without mention of complication
			873.42 Open wound of forehead, without mention of complication
			873.43 Open wound of lip, without mention of complication
			873.44 Open wound of jaw, without mention of complication
			873.49 Open wound of other and multiple sites of face, without mention of complication
			873.5 Open wound of face complicated
			873.50 Open wound of face, unspecified site, complicated
			873.51 Open wound of cheek, complicated
			873.52 Open wound of forehead, complicated
			873.53 Open wound of lip, complicated
			873.54 Open wound of jaw, complicated
			873.59 Open wound of other and multiple sites of face, complicated
			873.6 Open wound of internal structures of mouth without mention of complication
			873.60 Open wound of mouth, unspecified site, without mention of complication
			873.61 Open wound of buccal mucosa, without mention of complication
			873.62 Open wound of gum (alveolar process), without mention of complication
			873.63 Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication
			873.64 Open wound of tongue and floor of mouth, without mention of complication
			873.65 Open wound of palate, without mention of complication
			873.69 Open wound of other and multiple sites of mouth, without mention of complication
			873.7 Open wound of internal structure of mouth complicated
			873.70 Open wound of mouth, unspecified site, complicated
			873.71 Open wound of buccal mucosa, complicated
			873.72 Open wound of gum (alveolar process), complicated
			873.73 Open wound of tooth (broken) (fractured) (due to trauma), complicated
			873.74 Open wound of tongue and floor of mouth, complicated
			873.75 Open wound of palate, complicated
			873.79 Open wound of other and multiple sites of mouth, complicated
			873.8 Other and unspecified open wound of head without mention of complication
			873.9 Other and unspecified open wound of head, complicated
		874 Open wound of neck
			874 Open wound of neck
			874.0 Open wound of larynx and trachea without mention of complication
			874.00 Open wound of larynx with trachea, without mention of complication
			874.01 Open wound of larynx, without mention of complication
			874.02 Open wound of trachea, without mention of complication
			874.1 Open wound of larynx and trachea complicated
			874.10 Open wound of larynx with trachea, complicated
			874.11 Open wound of larynx, complicated
			874.12 Open wound of trachea, complicated
			874.2 Open wound of thyroid gland, without mention of complication
			874.3 Open wound of thyroid gland, complicated
			874.4 Open wound of pharynx, without mention of complication
			874.5 Open wound of pharynx, complicated
			874.8 Open wound of other and unspecified parts of neck, without mention of complication
			874.9 Open wound of other and unspecified parts of neck, complicated
		875 Open wound of chest (wall)
			875 Open wound of chest (wall)
			875.0 Open wound of chest (wall), without mention of complication
			875.1 Open wound of chest (wall), complicated
		876 Open wound of back
			876 Open wound of back
			876.0 Open wound of back, without mention of complication
			876.1 Open wound of back, complicated
		877 Open wound of buttock
			877 Open wound of buttock
			877.0 Open wound of buttock, without mention of complication
			877.1 Open wound of buttock, complicated
		878 Open wound of genital organs (external) including traumatic amputation
			878 Open wound of genital organs (external) including traumatic amputation
			878.0 Open wound of penis, without mention of complication
			878.1 Open wound of penis, complicated
			878.2 Open wound of scrotum and testes, without mention of complication
			878.3 Open wound of scrotum and testes, complicated
			878.4 Open wound of vulva, without mention of complication
			878.5 Open wound of vulva, complicated
			878.6 Open wound of vagina, without mention of complication
			878.7 Open wound of vagina, complicated
			878.8 Open wound of other and unspecified parts of genital organs (external), without mention of complication
			878.9 Open wound of other and unspecified parts of genital organs (external), complicated
		879 Open wound of other and unspecified sites except limbs
			879 Open wound of other and unspecified sites except limbs
			879.0 Open wound of breast, without mention of complication
			879.1 Open wound of breast, complicated
			879.2 Open wound of abdominal wall, anterior, without mention of complication
			879.3 Open wound of abdominal wall, anterior, complicated
			879.4 Open wound of abdominal wall, lateral, without mention of complication
			879.5 Open wound of abdominal wall, lateral, complicated
			879.6 Open wound of other and unspecified parts of trunk, without mention of complication
			879.7 Open wound of other and unspecified parts of trunk, complicated
			879.8 Open wound(s) (multiple) of unspecified site(s), without mention of complication
			879.9 Open wound(s) (multiple) of unspecified site(s), complicated
	880-887 Open Wound Of Upper Limb
		880 Open wound of shoulder and upper arm
			880 Open wound of shoulder and upper arm
			880.0 Open wound of shoulder and upper arm without mention of complication
			880.00 Open wound of shoulder region, without mention of complication
			880.01 Open wound of scapular region, without mention of complication
			880.02 Open wound of axillary region, without mention of complication
			880.03 Open wound of upper arm, without mention of complication
			880.09 Open wound of multiple sites of shoulder and upper arm, without mention of complication
			880.1 Open wound of shoulder and upper arm complicated
			880.10 Open wound of shoulder region, complicated
			880.11 Open wound of scapular region, complicated
			880.12 Open wound of axillary region, complicated
			880.13 Open wound of upper arm, complicated
			880.19 Open wound of multiple sites of shoulder and upper arm, complicated
			880.2 Open wound of shoulder and upper arm with tendon involvement
			880.20 Open wound of shoulder region, with tendon involvement
			880.21 Open wound of scapular region, with tendon involvement
			880.22 Open wound of axillary region, with tendon involvement
			880.23 Open wound of upper arm, with tendon involvement
			880.29 Open wound of multiple sites of shoulder and upper arm, with tendon involvement
		881 Open wound of elbow forearm and wrist
			881 Open wound of elbow forearm and wrist
			881.0 Open wound of elbow forearm and wrist without mention of complication
			881.00 Open wound of forearm, without mention of complication
			881.01 Open wound of elbow, without mention of complication
			881.02 Open wound of wrist, without mention of complication
			881.1 Open wound of elbow forearm and wrist complicated
			881.10 Open wound of forearm, complicated
			881.11 Open wound of elbow, complicated
			881.12 Open wound of wrist, complicated
			881.2 Open wound of elbow forearm and wrist with tendon involvement
			881.20 Open wound of forearm, with tendon involvement
			881.21 Open wound of elbow, with tendon involvement
			881.22 Open wound of wrist, with tendon involvement
		882 Open wound of hand except finger(s) alone
			882 Open wound of hand except finger(s) alone
			882.0 Open wound of hand except finger(s) alone, without mention of complication
			882.1 Open wound of hand except finger(s) alone, complicated
			882.2 Open wound of hand except finger(s) alone, with tendon involvement
		883 Open wound of finger(s)
			883 Open wound of finger(s)
			883.0 Open wound of finger(s), without mention of complication
			883.1 Open wound of finger(s), complicated
			883.2 Open wound of finger(s), with tendon involvement
		884 Multiple and unspecified open wound of upper limb
			884 Multiple and unspecified open wound of upper limb
			884.0 Multiple and unspecified open wound of upper limb, without mention of complication
			884.1 Multiple and unspecified open wound of upper limb, complicated
			884.2 Multiple and unspecified open wound of upper limb, with tendon involvement
		885 Traumatic amputation of thumb (complete) (partial)
			885 Traumatic amputation of thumb (complete) (partial)
			885.0 Traumatic amputation of thumb (complete)(partial), without mention of complication
			885.1 Traumatic amputation of thumb (complete)(partial), complicated
		886 Traumatic amputation of other finger(s) (complete) (partial)
			886 Traumatic amputation of other finger(s) (complete) (partial)
			886.0 Traumatic amputation of other finger(s) (complete) (partial), without mention of complication
			886.1 Traumatic amputation of other finger(s) (complete) (partial), complicated
		887 Traumatic amputation of arm and hand (complete) (partial)
			887 Traumatic amputation of arm and hand (complete) (partial)
			887.0 Traumatic amputation of arm and hand (complete) (partial), unilateral, below elbow, without mention of complication
			887.1 Traumatic amputation of arm and hand (complete) (partial), unilateral, below elbow, complicated
			887.2 Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, without mention of complication
			887.3 Traumatic amputation of arm and hand (complete) (partial), unilateral, at or above elbow, complicated
			887.4 Traumatic amputation of arm and hand (complete) (partial), unilateral, level not specified, without mention of complication
			887.5 Traumatic amputation of arm and hand (complete) (partial), unilateral, level not specified, complicated
			887.6 Traumatic amputation of arm and hand (complete) (partial), bilateral [any level], without mention of complication
			887.7 Traumatic amputation of arm and hand (complete) (partial), bilateral [any level], complicated
	890-897 Open Wound Of Lower Limb
		890 Open wound of hip and thigh
			890 Open wound of hip and thigh
			890.0 Open wound of hip and thigh, without mention of complication
			890.1 Open wound of hip and thigh, complicated
			890.2 Open wound of hip and thigh, with tendon involvement
		891 Open wound of knee leg (except thigh) and ankle
			891 Open wound of knee leg (except thigh) and ankle
			891.0 Open wound of knee, leg [except thigh], and ankle, without mention of complication
			891.1 Open wound of knee, leg [except thigh], and ankle, complicated
			891.2 Open wound of knee, leg [except thigh], and ankle, with tendon involvement
		892 Open wound of foot except toe(s) alone
			892 Open wound of foot except toe(s) alone
			892.0 Open wound of foot except toe(s) alone, without mention of complication
			892.1 Open wound of foot except toe(s) alone, complicated
			892.2 Open wound of foot except toe(s) alone, with tendon involvement
		893 Open wound of toe(s)
			893 Open wound of toe(s)
			893.0 Open wound of toe(s), without mention of complication
			893.1 Open wound of toe(s), complicated
			893.2 Open wound of toe(s), with tendon involvement
		894 Multiple and unspecified open wound of lower limb
			894 Multiple and unspecified open wound of lower limb
			894.0 Multiple and unspecified open wound of lower limb, without mention of complication
			894.1 Multiple and unspecified open wound of lower limb, complicated
			894.2 Multiple and unspecified open wound of lower limb, with tendon involvement
		895 Traumatic amputation of toe(s) (complete) (partial)
			895 Traumatic amputation of toe(s) (complete) (partial)
			895.0 Traumatic amputation of toe(s) (complete) (partial), without mention of complication
			895.1 Traumatic amputation of toe(s) (complete) (partial), complicated
		896 Traumatic amputation of foot (complete) (partial)
			896 Traumatic amputation of foot (complete) (partial)
			896.0 Traumatic amputation of foot (complete) (partial), unilateral, without mention of complication
			896.1 Traumatic amputation of foot (complete) (partial), unilateral, complicated
			896.2 Traumatic amputation of foot (complete) (partial), bilateral, without mention of complication
			896.3 Traumatic amputation of foot (complete) (partial), bilateral, complicated
		897 Traumatic amputation of leg(s) (complete) (partial)
			897 Traumatic amputation of leg(s) (complete) (partial)
			897.0 Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, without mention of complication
			897.1 Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, complicated
			897.2 Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, without mention of complication
			897.3 Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, complicated
			897.4 Traumatic amputation of leg(s) (complete) (partial), unilateral, level not specified, without mention of complication
			897.5 Traumatic amputation of leg(s) (complete) (partial), unilateral, level not specified, complicated
			897.6 Traumatic amputation of leg(s) (complete) (partial), bilateral [any level]), without mention of complication
			897.7 Traumatic amputation of leg(s) (complete) (partial), bilateral [any level], complicated
	900-904 Injury To Blood Vessels
		900 Injury to blood vessels of head and neck
			900 Injury to blood vessels of head and neck
			900.0 Injury to carotid artery
			900.00 Injury to carotid artery, unspecified
			900.01 Injury to common carotid artery
			900.02 Injury to external carotid artery
			900.03 Injury to internal carotid artery
			900.1 Injury to internal jugular vein
			900.8 Injury to other specified blood vessels of head and neck
			900.81 Injury to external jugular vein
			900.82 Injury to multiple blood vessels of head and neck
			900.89 Injury to other specified blood vessels of head and neck
			900.9 Injury to unspecified blood vessel of head and neck
		901 Injury to blood vessels of thorax
			901 Injury to blood vessels of thorax
			901.0 Injury to thoracic aorta
			901.1 Injury to innominate and subclavian arteries
			901.2 Injury to superior vena cava
			901.3 Injury to innominate and subclavian veins
			901.4 Injury to pulmonary blood vessels
			901.40 Injury to pulmonary vessel(s), unspecified
			901.41 Injury to pulmonary artery
			901.42 Injury to pulmonary vein
			901.8 Injury to other specified blood vessels of thorax
			901.81 Injury to intercostal artery or vein
			901.82 Injury to internal mammary artery or vein
			901.83 Injury to multiple blood vessels of thorax
			901.89 Injury to other specified blood vessels of thorax
			901.9 Injury to unspecified blood vessel of thorax
		902 Injury to blood vessels of abdomen and pelvis
			902 Injury to blood vessels of abdomen and pelvis
			902.0 Injury to abdominal aorta
			902.1 Injury to inferior vena cava
			902.10 Injury to inferior vena cava, unspecified
			902.11 Injury to hepatic veins
			902.19 Injury to inferior vena cava, other
			902.2 Injury to celiac and mesenteric arteries
			902.20 Injury to celiac and mesenteric arteries, unspecified
			902.21 Injury to gastric artery
			902.22 Injury to hepatic artery
			902.23 Injury to splenic artery
			902.24 Injury to other specified branches of celiac axis
			902.25 Injury to superior mesenteric artery (trunk)
			902.26 Injury to primary branches of superior mesenteric artery
			902.27 Injury to inferior mesenteric artery
			902.29 Injury to celiac and mesenteric arteries, other
			902.3 Injury to portal and splenic veins
			902.31 Injury to superior mesenteric vein and primary subdivisions
			902.32 Injury to inferior mesenteric vein
			902.33 Injury to portal vein
			902.34 Injury to splenic vein
			902.39 Injury to portal and splenic veins, other
			902.4 Injury to renal blood vessels
			902.40 Injury to renal vessel(s), unspecified
			902.41 Injury to renal artery
			902.42 Injury to renal vein
			902.49 Injury to renal blood vessels, other
			902.5 Injury to iliac blood vessels
			902.50 Injury to iliac vessel(s), unspecified
			902.51 Injury to hypogastric artery
			902.52 Injury to hypogastric vein
			902.53 Injury to iliac artery
			902.54 Injury to iliac vein
			902.55 Injury to uterine artery
			902.56 Injury to uterine vein
			902.59 Injury to iliac blood vessels, other
			902.8 Injury to other specified blood vessels of abdomen and pelvis
			902.81 Injury to ovarian artery
			902.82 Injury to ovarian vein
			902.87 Injury to multiple blood vessels of abdomen and pelvis
			902.89 Injury to other specified blood vessels of abdomen and pelvis
			902.9 Injury to unspecified blood vessel of abdomen and pelvis
		903 Injury to blood vessels of upper extremity
			903 Injury to blood vessels of upper extremity
			903.0 Injury to axillary blood vessels
			903.00 Injury to axillary vessel(s), unspecified
			903.01 Injury to axillary artery
			903.02 Injury to axillary vein
			903.1 Injury to brachial blood vessels
			903.2 Injury to radial blood vessels
			903.3 Injury to ulnar blood vessels
			903.4 Injury to palmar artery
			903.5 Injury to digital blood vessels
			903.8 Injury to other specified blood vessels of upper extremity
			903.9 Injury to unspecified blood vessel of upper extremity
		904 Injury to blood vessels of lower extremity and unspecified sites
			904 Injury to blood vessels of lower extremity and unspecified sites
			904.0 Injury to common femoral artery
			904.1 Injury to superficial femoral artery
			904.2 Injury to femoral veins
			904.3 Injury to saphenous veins
			904.4 Injury to popliteal blood vessels
			904.40 Injury to popliteal vessel(s), unspecified
			904.41 Injury to popliteal artery
			904.42 Injury to popliteal vein
			904.5 Injury to tibial blood vessels
			904.50 Injury to tibial vessel(s), unspecified
			904.51 Injury to anterior tibial artery
			904.52 Injury to anterior tibial vein
			904.53 Injury to posterior tibial artery
			904.54 Injury to posterior tibial vein
			904.6 Injury to deep plantar blood vessels
			904.7 Injury to other specified blood vessels of lower extremity
			904.8 Injury to unspecified blood vessel of lower extremity
			904.9 Injury to blood vessels of unspecified site
	905-909 Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes
		905 Late effects of musculoskeletal and connective tissue injuries
			905 Late effects of musculoskeletal and connective tissue injuries
			905.0 Late effect of fracture of skull and face bones
			905.1 Late effect of fracture of spine and trunk without mention of spinal cord lesion
			905.2 Late effect of fracture of upper extremities
			905.3 Late effect of fracture of neck of femur
			905.4 Late effect of fracture of lower extremities
			905.5 Late effect of fracture of multiple and unspecified bones
			905.6 Late effect of dislocation
			905.7 Late effect of sprain and strain without mention of tendon injury
			905.8 Late effect of tendon injury
			905.9 Late effect of traumatic amputation
		906 Late effects of injuries to skin and subcutaneous tissues
			906 Late effects of injuries to skin and subcutaneous tissues
			906.0 Late effect of open wound of head, neck, and trunk
			906.1 Late effect of open wound of extremities without mention of tendon injury
			906.2 Late effect of superficial injury
			906.3 Late effect of contusion
			906.4 Late effect of crushing
			906.5 Late effect of burn of eye, face, head, and neck
			906.6 Late effect of burn of wrist and hand
			906.7 Late effect of burn of other extremities
			906.8 Late effect of burns of other specified sites
			906.9 Late effect of burn of unspecified site
		907 Late effects of injuries to the nervous system
			907 Late effects of injuries to the nervous system
			907.0 Late effect of intracranial injury without mention of skull fracture
			907.1 Late effect of injury to cranial nerve
			907.2 Late effect of spinal cord injury
			907.3 Late effect of injury to nerve root(s), spinal plexus(es), and other nerves of trunk
			907.4 Late effect of injury to peripheral nerve of shoulder girdle and upper limb
			907.5 Late effect of injury to peripheral nerve of pelvic girdle and lower limb
			907.9 Late effect of injury to other and unspecified nerve
		908 Late effects of other and unspecified injuries
			908 Late effects of other and unspecified injuries
			908.0 Late effect of internal injury to chest
			908.1 Late effect of internal injury to intra-abdominal organs
			908.2 Late effect of internal injury to other internal organs
			908.3 Late effect of injury to blood vessel of head, neck, and extremities
			908.4 Late effect of injury to blood vessel of thorax, abdomen, and pelvis
			908.5 Late effect of foreign body in orifice
			908.6 Late effect of certain complications of trauma
			908.9 Late effect of unspecified injury
		909 Late effects of other and unspecified external causes
			909 Late effects of other and unspecified external causes
			909.0 Late effect of poisoning due to drug, medicinal or biological substance
			909.1 Late effect of toxic effects of nonmedical substances
			909.2 Late effect of radiation
			909.3 Late effect of complications of surgical and medical care
			909.4 Late effect of certain other external causes
			909.5 Late effect of adverse effect of drug, medicinal or biological substance
			909.9 Late effect of other and unspecified external causes
	910-919 Superficial Injury
		910 Superficial injury of face neck and scalp except eye
			910 Superficial injury of face neck and scalp except eye
			910.0 Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection
			910.1 Abrasion or friction burn of face, neck, and scalp except eye, infected
			910.2 Blister of face, neck, and scalp except eye, without mention of infection
			910.3 Blister of face, neck, and scalp except eye, infected
			910.4 Insect bite, nonvenomous of face, neck, and scalp except eye, without mention of infection
			910.5 Insect bite, nonvenomous of face, neck, and scalp except eye, infected
			910.6 Superficial foreign body (splinter) of face, neck, and scalp except eye, without major open wound and without mention of infection
			910.7 Superficial foreign body (splinter) of face, neck, and scalp except eye, without major open wound, infected
			910.8 Other and unspecified superficial injury of face, neck, and scalp, without mention of infection
			910.9 Other and unspecified superficial injury of face, neck, and scalp, infected
		911 Superficial injury of trunk
			911 Superficial injury of trunk
			911.0 Abrasion or friction burn of trunk, without mention of infection
			911.1 Abrasion or friction burn of trunk, infected
			911.2 Blister of trunk, without mention of infection
			911.3 Blister of trunk, infected
			911.4 Insect bite, nonvenomous of trunk, without mention of infection
			911.5 Insect bite, nonvenomous of trunk, infected
			911.6 Superficial foreign body (splinter) of trunk, without major open wound and without mention of infection
			911.7 Superficial foreign body (splinter) of trunk, without major open wound, infected
			911.8 Other and unspecified superficial injury of trunk, without mention of infection
			911.9 Other and unspecified superficial injury of trunk, infected
		912 Superficial injury of shoulder and upper arm
			912 Superficial injury of shoulder and upper arm
			912.0 Abrasion or friction burn of shoulder and upper arm, without mention of infection
			912.1 Abrasion or friction burn of shoulder and upper arm, infected
			912.2 Blister of shoulder and upper arm, without mention of infection
			912.3 Blister of shoulder and upper arm, infected
			912.4 Insect bite, nonvenomous of shoulder and upper arm, without mention of infection
			912.5 Insect bite, nonvenomous of shoulder and upper arm, infected
			912.6 Superficial foreign body (splinter) of shoulder and upper arm, without major open wound and without mention of infection
			912.7 Superficial foreign body (splinter) of shoulder and upper arm, without major open wound, infected
			912.8 Other and unspecified superficial injury of shoulder and upper arm, without mention of infection
			912.9 Other and unspecified superficial injury of shoulder and upper arm, infected
		913 Superficial injury of elbow forearm and wrist
			913 Superficial injury of elbow forearm and wrist
			913.0 Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection
			913.1 Abrasion or friction burn of elbow, forearm, and wrist, infected
			913.2 Blister of elbow, forearm, and wrist, without mention of infection
			913.3 Blister of elbow, forearm, and wrist, infected
			913.4 Insect bite, nonvenomous of elbow, forearm, and wrist, without mention of infection
			913.5 Insect bite, nonvenomous, of elbow, forearm, and wrist, infected
			913.6 Superficial foreign body (splinter) of elbow, forearm, and wrist, without major open wound and without mention of infection
			913.7 Superficial foreign body (splinter) of elbow, forearm, and wrist, without major open wound, infected
			913.8 Other and unspecified superficial injury of elbow, forearm, and wrist, without mention of infection
			913.9 Other and unspecified superficial injury of elbow, forearm, and wrist, infected
		914 Superficial injury of hand(s) except finger(s) alone
			914 Superficial injury of hand(s) except finger(s) alone
			914.0 Abrasion or friction burn of hand(s) except finger(s) alone, without mention of infection
			914.1 Abrasion or friction burn of hand(s) except finger(s) alone, infected
			914.2 Blister of hand(s) except finger(s) alone, without mention of infection
			914.3 Blister of hand(s) except finger(s) alone, infected
			914.4 Insect bite, nonvenomous, of hand(s) except finger(s) alone, without mention of infection
			914.5 Insect bite, nonvenomous, of hand(s) except finger(s) alone, infected
			914.6 Superficial foreign body (splinter) of hand(s) except finger(s) alone, without major open wound and without mention of infection
			914.7 Superficial foreign body (splinter) of hand(s) except finger(s) alone, without major open wound, infected
			914.8 Other and unspecified superficial injury of hand(s) except finger(s) alone, without mention of infection
			914.9 Other and unspecified superficial injury of hand(s) except finger(s) alone, infected
		915 Superficial injury of finger(s)
